person_id,vorname,nachname,geburtsjahr,geschlecht,staatsbuergerschaft,sprengel,katastralgemeinde,haushaltsnummer
ks3k-00040,Rudolf,Fischer,1972,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00020
ks3k-00041,Sophie,Fischer,2021,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00020
ks3k-00042,Paula,Fischer,2017,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00020
ks3k-00043,Gabriel,Fischer,2012,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00020
ks3k-00044,Anna,Müller,1977,weiblich,DE,Nordbezirk-1,Nordbezirk,ks3k-h00021
ks3k-00045,Rudolf,Strasser,1999,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00022
ks3k-00046,Petra,Strasser,1999,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00022
ks3k-00047,Antonia,Strasser,2024,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00022
ks3k-00048,Miloš,Ibrahimović,1974,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00023
ks3k-00049,Csaba,Takács,1966,maennlich,CZ,Nordbezirk-1,Nordbezirk,ks3k-h00024
ks3k-00050,Gabriela,Takács,1969,weiblich,PL,Nordbezirk-1,Nordbezirk,ks3k-h00024
ks3k-00051,Felix,Schneider,1984,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00025
ks3k-00052,Rosa,Schneider,1983,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00025
ks3k-00053,Alois,Steiner,1994,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00026
ks3k-00054,Paula,Steiner,2004,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00026
ks3k-00055,Valentin,Bauer,1978,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00027
ks3k-00056,Paul,Bauer,2015,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00027
ks3k-00057,Franz,Bauer,2017,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00027
ks3k-00058,Julian,Mayer,2001,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00028
ks3k-00059,Maria,Mayer,1991,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00028
ks3k-00060,Susanne,Holzer,1956,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00029
ks3k-00061,Felix,Auer,1998,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00030
ks3k-00062,Katharina,Auer,1991,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00030
ks3k-00063,Amelie,Auer,2024,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00030
ks3k-00064,Simon,Schneider,1973,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00031
ks3k-00065,Susanne,Schneider,1978,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00031
ks3k-00066,Maria,Schneider,2020,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00031
ks3k-00067,Tobias,Schneider,2025,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00031
ks3k-00068,Gerhard,Winter,1992,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00032
ks3k-00069,Elias,Winter,2021,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00032
ks3k-00070,Noah,Winter,2010,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00032
ks3k-00071,Elfriede,Winter,2021,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00032
ks3k-00072,David,Winter,2025,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00032
ks3k-00073,David,Wieser,1989,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00033
ks3k-00074,Manfred,Hofer,2001,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00034
ks3k-00075,Notburga,Hofer,2001,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00034
ks3k-00076,Ursula,Hofer,2019,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00034
ks3k-00077,Niklas,Mair,1996,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00035
ks3k-00078,Margarete,Mair,2021,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00035
ks3k-00079,Friedrich,Mair,2024,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00035
ks3k-00080,Moritz,Lehner,1993,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00036
ks3k-00081,Christina,Lehner,1994,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00036
ks3k-00082,Josef,Schmidt,1974,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00037
ks3k-00083,Klara,Schmidt,1982,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00037
ks3k-00084,Maria,Schmidt,2026,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00037
ks3k-00085,Elisabeth,Schmidt,2022,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00037
ks3k-00086,Christian,Weiss,2001,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00038
ks3k-00087,Ida,Weiss,1995,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00038
ks3k-00088,Julian,Weiss,2026,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00038
ks3k-00089,Hedwig,Weiss,2023,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00038
ks3k-00090,Heinrich,Steiner,1965,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00039
ks3k-00091,Petra,Steiner,1969,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00039
ks3k-00092,Simon,Reiter,1989,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00040
ks3k-00093,Susanne,Reiter,1990,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00040
ks3k-00094,Notburga,Reiter,2024,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00040
ks3k-00095,Christian,Reiter,2024,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00040
ks3k-00096,Elias,Reiter,2010,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00040
ks3k-00097,Edin,Petrović,1961,maennlich,BA,Nordbezirk-1,Nordbezirk,ks3k-h00041
ks3k-00098,Oskar,Hofer,1995,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00042
ks3k-00099,Sophie,Hofer,2021,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00042
ks3k-00100,Leopoldine,Hofer,2020,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00042
ks3k-00101,Valentina,Hofer,2016,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00042
ks3k-00102,Süleyman,Erdoğan,2009,maennlich,TR,Nordbezirk-1,Nordbezirk,ks3k-h00043
ks3k-00103,Dušan,Vidović,1985,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00044
ks3k-00104,Jasmina,Vidović,2016,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00044
ks3k-00105,Mateo,Vidović,2018,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00044
ks3k-00106,Ante,Vidović,2024,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00044
ks3k-00107,Valentina,Auer,1963,weiblich,DE,Nordbezirk-1,Nordbezirk,ks3k-h00045
ks3k-00108,Raphael,Binder,1972,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00046
ks3k-00109,Süleyman,Çoban,1999,maennlich,TR,Nordbezirk-1,Nordbezirk,ks3k-h00047
ks3k-00110,Katharina,Çoban,2003,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00047
ks3k-00111,Moritz,Mayer,1986,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00048
ks3k-00112,Notburga,Mayer,1984,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00048
ks3k-00113,Jonas,Berger,1983,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00049
ks3k-00114,Renate,Berger,1990,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00049
ks3k-00115,Alexander,Pichler,1999,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00050
ks3k-00116,Sebastian,Wolf,2000,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00051
ks3k-00117,Susanne,Wolf,2003,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00051
ks3k-00118,Valentin,Fischer,2000,maennlich,DE,Nordbezirk-1,Nordbezirk,ks3k-h00052
ks3k-00119,Klara,Fischer,1996,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00052
ks3k-00120,Klara,Fischer,2020,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00052
ks3k-00121,Renate,Fischer,2026,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00052
ks3k-00122,Leon,Fischer,2022,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00052
ks3k-00123,Ingrid,Fischer,2020,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00052
ks3k-00124,Paul,Wallner,2003,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00053
ks3k-00125,Simon,Eder,1982,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00054
ks3k-00126,Ingrid,Eder,2014,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00054
ks3k-00127,Eva,Eder,2009,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00054
ks3k-00128,Sebastian,Lechner,1979,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00055
ks3k-00129,Valentina,Lechner,1982,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00055
ks3k-00130,David,Lechner,2024,divers,AT,Nordbezirk-1,Nordbezirk,ks3k-h00055
ks3k-00131,Valentin,Lechner,2013,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00055
ks3k-00132,Lisa,Lechner,2008,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00055
ks3k-00133,Süleyman,Yıldırım,1943,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00056
ks3k-00134,Peter,Schuster,1979,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00057
ks3k-00135,Notburga,Schuster,1978,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00057
ks3k-00136,Friedrich,Lehner,1984,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00058
ks3k-00137,Felix,Lehner,2018,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00058
ks3k-00138,Amelie,Lehner,2024,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00058
ks3k-00139,Hannah,Lehner,2025,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00058
ks3k-00140,Gerhard,Lehner,2023,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00058
ks3k-00141,Rudolf,Schwarz,1969,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00059
ks3k-00142,Notburga,Schwarz,1970,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00059
ks3k-00143,Hedwig,Aigner,1938,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00060
ks3k-00144,Zehra,Özer,1999,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00061
ks3k-00145,Stefan,Maurer,1978,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00062
ks3k-00146,Susanne,Maurer,1980,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00062
ks3k-00147,Helmut,Maurer,2021,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00062
ks3k-00148,Gabriel,Schuster,1964,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00063
ks3k-00149,Leopoldine,Schuster,1973,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00063
ks3k-00150,Walter,Fuchs,1968,maennlich,DE,Nordbezirk-1,Nordbezirk,ks3k-h00064
ks3k-00151,Margarete,Fuchs,1963,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00064
ks3k-00152,Julian,Wagner,1972,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00065
ks3k-00153,Barbara,Wagner,2012,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00065
ks3k-00154,Heinrich,Wagner,2018,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00065
ks3k-00155,Jakob,Winter,1980,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00066
ks3k-00156,Ida,Winter,1981,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00066
ks3k-00157,Manfred,Winter,2023,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00066
ks3k-00158,Gerhard,Leitner,1977,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00067
ks3k-00159,Mia,Leitner,1977,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00067
ks3k-00160,Wolfgang,Weiss,1992,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00068
ks3k-00161,Elisabeth,Weiss,1993,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00068
ks3k-00162,Friedrich,Egger,1982,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00069
ks3k-00163,Fatih,Karaca,1973,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00070
ks3k-00164,Sevim,Karaca,1972,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00070
ks3k-00165,Pınar,Karaca,2013,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00070
ks3k-00166,Sema,Karaca,2017,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00070
ks3k-00167,Christian,Egger,1985,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00071
ks3k-00168,Brigitte,Egger,1979,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00071
ks3k-00169,Jonas,Egger,2022,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00071
ks3k-00170,Felix,Ebner,1981,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00072
ks3k-00171,Renate,Ebner,1974,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00072
ks3k-00172,Markus,Ebner,2019,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00072
ks3k-00173,Klara,Ebner,2022,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00072
ks3k-00174,Emilia,Ebner,2014,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00072
ks3k-00175,Michael,Stadler,1965,maennlich,DE,Nordbezirk-1,Nordbezirk,ks3k-h00073
ks3k-00176,Hubert,Wimmer,1970,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00074
ks3k-00177,Barbara,Wimmer,1967,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00074
ks3k-00178,Johann,Auer,1987,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00075
ks3k-00179,Renate,Auer,1991,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00075
ks3k-00180,Laura,Auer,2024,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00075
ks3k-00181,Peter,Auer,2026,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00075
ks3k-00182,Brigitte,Auer,2012,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00075
ks3k-00183,Paul,Winter,1992,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00076
ks3k-00184,Sarah,Winter,1998,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00076
ks3k-00185,Hedwig,Winter,2022,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00076
ks3k-00186,Sarah,Winter,2022,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00076
ks3k-00187,Raphael,Lang,1976,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00077
ks3k-00188,Marie,Lang,1984,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00077
ks3k-00189,Karl,Lehner,1962,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00078
ks3k-00190,Sofia,Lehner,1955,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00078
ks3k-00191,Tomáš,Procházka,1990,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00079
ks3k-00192,Michaela,Procházkaová,1980,weiblich,CZ,Nordbezirk-1,Nordbezirk,ks3k-h00079
ks3k-00193,Jonas,Huber,1985,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00080
ks3k-00194,Paula,Huber,1993,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00080
ks3k-00195,Hubert,Lehner,1998,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00081
ks3k-00196,Sofia,Lehner,2016,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00081
ks3k-00197,Moritz,Lehner,2023,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00081
ks3k-00198,Ursula,Lehner,2019,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00081
ks3k-00199,Marie,Lehner,2019,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00081
ks3k-00200,Felix,Wallner,1983,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00082
ks3k-00201,Antonia,Wallner,1978,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00082
ks3k-00202,Werner,Wallner,2018,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00082
ks3k-00203,Oskar,Riegler,1981,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00083
ks3k-00204,Sophia,Riegler,1981,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00083
ks3k-00205,Rosa,Riegler,2021,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00083
ks3k-00206,Markus,Berger,1964,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00084
ks3k-00207,Christina,Berger,1963,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00084
ks3k-00208,Tolga,Özdemir,1989,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00085
ks3k-00209,Songül,Özdemir,1982,weiblich,TR,Nordbezirk-1,Nordbezirk,ks3k-h00085
ks3k-00210,Erol,Özdemir,2008,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00085
ks3k-00211,Yıldız,Özdemir,2015,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00085
ks3k-00212,Manfred,Berger,1971,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00086
ks3k-00213,Wolfgang,Haider,1960,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00087
ks3k-00214,David,Reiter,1972,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00088
ks3k-00215,Johanna,Reiter,1981,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00088
ks3k-00216,Nuri,Çakır,1971,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00089
ks3k-00217,Karin,Strasser,1973,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00090
ks3k-00218,Johanna,Lehner,1975,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00091
ks3k-00219,Thomas,Mayr,1976,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00092
ks3k-00220,Ida,Mayr,2015,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00092
ks3k-00221,Sarah,Mayr,2009,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00092
ks3k-00222,Leon,Mayr,2013,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00092
ks3k-00223,Amelie,Mayr,2012,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00092
ks3k-00224,Leon,Koller,1991,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00093
ks3k-00225,Sofia,Koller,1982,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00093
ks3k-00226,Herbert,Weber,1974,maennlich,DE,Nordbezirk-1,Nordbezirk,ks3k-h00094
ks3k-00227,Andreas,Lehner,1978,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00095
ks3k-00228,Sabine,Lehner,1980,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00095
ks3k-00229,Julian,Lehner,2013,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00095
ks3k-00230,Alois,Holzer,1980,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00096
ks3k-00231,Emilia,Holzer,1972,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00096
ks3k-00232,Notburga,Holzer,2013,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00096
ks3k-00233,Friedrich,Holzer,2025,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00096
ks3k-00234,Rosa,Holzer,2015,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00096
ks3k-00235,Benjamin,Holzer,2019,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00096
ks3k-00236,Barbara,Lehner,1951,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00097
ks3k-00237,Sofia,Lechner,2021,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00098
ks3k-00238,Felix,Stadler,1984,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00099
ks3k-00239,Monika,Stadler,1981,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00099
ks3k-00240,Susanne,Stadler,2012,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00099
ks3k-00241,Wolfgang,Winter,1998,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00100
ks3k-00242,Elfriede,Winter,2005,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00100
ks3k-00243,Florian,Wimmer,1999,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00101
ks3k-00244,Lea,Wimmer,1998,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00101
ks3k-00245,Markus,Wimmer,1992,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00102
ks3k-00246,Lena,Wimmer,1993,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00102
ks3k-00247,Anna,Wimmer,2022,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00102
ks3k-00248,Franz,Wimmer,2012,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00102
ks3k-00249,Johann,Hofer,2008,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00103
